episode,terminated,reward,max_reward,episode_length
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,0,0,1,76
0,1,1,1,76
1,0,0,1,70
1,0,0,1,70
1,0,0,1,70
1,0,0,1,70
1,0,0,1,70
1,0,0,1,70
1,0,0,1,70
1,0,0,1,70
1,0,0,1,70
1,0,0,1,70
1,0,0,1,70
1,0,0,1,70
1,0,0,1,70
1,0,0,1,70
1,0,0,1,70
1,0,0,1,70
1,0,0,1,70
1,0,0,1,70
1,0,0,1,70
1,0,0,1,70
1,0,0,1,70
1,0,0,1,70
1,0,0,1,70
1,0,0,1,70
1,0,0,1,70
1,0,0,1,70
1,0,0,1,70
1,0,0,1,70
1,0,0,1,70
1,0,0,1,70
1,0,0,1,70
1,0,0,1,70
1,0,0,1,70
1,0,0,1,70
1,0,0,1,70
1,0,0,1,70
1,0,0,1,70
1,0,0,1,70
1,0,0,1,70
1,0,0,1,70
1,0,0,1,70
1,0,0,1,70
1,0,0,1,70
1,0,0,1,70
1,0,0,1,70
1,0,0,1,70
1,0,0,1,70
1,0,0,1,70
1,0,0,1,70
1,0,0,1,70
1,0,0,1,70
1,0,0,1,70
1,0,0,1,70
1,0,0,1,70
1,0,0,1,70
1,0,0,1,70
1,0,0,1,70
1,0,0,1,70
1,0,0,1,70
1,0,0,1,70
1,0,0,1,70
1,0,0,1,70
1,0,0,1,70
1,0,0,1,70
1,0,0,1,70
1,0,0,1,70
1,0,0,1,70
1,0,0,1,70
1,0,0,1,70
1,1,1,1,70
2,0,0,1,93
2,0,0,1,93
2,0,0,1,93
2,0,0,1,93
2,0,0,1,93
2,0,0,1,93
2,0,0,1,93
2,0,0,1,93
2,0,0,1,93
2,0,0,1,93
2,0,0,1,93
2,0,0,1,93
2,0,0,1,93
2,0,0,1,93
2,0,0,1,93
2,0,0,1,93
2,0,0,1,93
2,0,0,1,93
2,0,0,1,93
2,0,0,1,93
2,0,0,1,93
2,0,0,1,93
2,0,0,1,93
2,0,0,1,93
2,0,0,1,93
2,0,0,1,93
2,0,0,1,93
2,0,0,1,93
2,0,0,1,93
2,0,0,1,93
2,0,0,1,93
2,0,0,1,93
2,0,0,1,93
2,0,0,1,93
2,0,0,1,93
2,0,0,1,93
2,0,0,1,93
2,0,0,1,93
2,0,0,1,93
2,0,0,1,93
2,0,0,1,93
2,0,0,1,93
2,0,0,1,93
2,0,0,1,93
2,0,0,1,93
2,0,0,1,93
2,0,0,1,93
2,0,0,1,93
2,0,0,1,93
2,0,0,1,93
2,0,0,1,93
2,0,0,1,93
2,0,0,1,93
2,0,0,1,93
2,0,0,1,93
2,0,0,1,93
2,0,0,1,93
2,0,0,1,93
2,0,0,1,93
2,0,0,1,93
2,0,0,1,93
